round(Avg(Temp))	ChangeDate
35	2018-10-02 22:58:00.257722
35	2018-10-02 22:59:01.498116
35	2018-10-02 23:00:00.996495
35	2018-10-02 23:01:00.496770
35	2018-10-02 23:02:01.738420
35	2018-10-02 23:03:01.216828
35	2018-10-02 23:04:00.696874
35	2018-10-02 23:05:00.197250
35	2018-10-02 23:06:01.476746
35	2018-10-02 23:07:00.916099
35	2018-10-02 23:08:00.377259
35	2018-10-02 23:09:01.638864
35	2018-10-02 23:10:01.097782
35	2018-10-02 23:11:00.597593
35	2018-10-02 23:12:00.077614
35	2018-10-02 23:13:01.335652
35	2018-10-02 23:14:00.815466
35	2018-10-02 23:15:00.297718
35	2018-10-02 23:16:01.534823
35	2018-10-02 23:17:01.019102
35	2018-10-02 23:18:00.516961
35	2018-10-02 23:19:01.738460
35	2018-10-02 23:20:01.234784
35	2018-10-02 23:21:00.697023
35	2018-10-02 23:22:00.198397
35	2018-10-02 23:23:01.434786
35	2018-10-02 23:24:00.944812
35	2018-10-02 23:25:00.398312
35	2018-10-02 23:26:01.635830
35	2018-10-02 23:27:01.135094
35	2018-10-02 23:28:00.677393
35	2018-10-02 23:29:00.097539
35	2018-10-02 23:30:01.395846
35	2018-10-02 23:31:00.816476
35	2018-10-02 23:32:00.317926
35	2018-10-02 23:33:01.534485
35	2018-10-02 23:34:01.035862
35	2018-10-02 23:35:00.517047
35	2018-10-02 23:36:01.754402
35	2018-10-02 23:37:01.262626
35	2018-10-02 23:38:00.735893
35	2018-10-02 23:39:00.237338
35	2018-10-02 23:40:01.456021
35	2018-10-02 23:41:00.995170
35	2018-10-02 23:42:00.435331
35	2018-10-02 23:43:01.643008
35	2018-10-02 23:44:01.135313
35	2018-10-02 23:45:00.616482
35	2018-10-02 23:46:00.094442
35	2018-10-02 23:47:01.355182
35	2018-10-02 23:48:00.822805
35	2018-10-02 23:49:00.333375
35	2018-10-02 23:50:01.554302
35	2018-10-02 23:51:01.035386
35	2018-10-02 23:52:00.512719
35	2018-10-02 23:53:01.734313
35	2018-10-02 23:54:01.236455
35	2018-10-02 23:55:00.752839
35	2018-10-02 23:56:00.293452
35	2018-10-02 23:57:01.458239
35	2018-10-02 23:58:00.917397
35	2018-10-02 23:59:00.497675
35	2018-10-03 00:00:01.634865
35	2018-10-03 00:01:01.116772
35	2018-10-03 00:02:00.613236
35	2018-10-03 00:03:00.114387
35	2018-10-03 00:04:01.335867
35	2018-10-03 00:05:00.832348
35	2018-10-03 00:06:00.293327
35	2018-10-03 00:07:01.534936
